               ra_v                dec_v 
         155.742275   -66.90149722222223 
 161.73946916666665  -56.757191666666664 
 168.18836041666665   -64.16976944444446 
  179.7945008333333   -45.83222055555556 
 181.18858124999997          -59.2532525 
 182.02177166666664   -50.66127111111111 
 183.78631958333332   -58.74892666666667 
 184.60931708333334   -64.00308722222222 
       185.70596625   -57.67612944444444 
       186.63233125   -51.45063583333334 
 187.00992499999998   -50.23063527777778 
 187.09360666666663          -39.0411875 
 188.30077749999998   -52.08284305555556 
        189.2959075   -69.13556472222223 
        190.7882425  -56.176226111111106 
       191.59464375  -56.488815555555554 
 191.93028624999997   -59.68877194444444 
 192.98721416666666  -39.680429999999994 
 193.64843541666667   -57.17792277777777 
  193.6536820833333  -57.168665555555556 
 194.26813416666664   -51.19875333333333 
 196.56960041666665   -48.46329027777778 
 196.72766374999998           -49.906245 
 199.93092041666665    -67.3643236111111 
 200.15760666666665   -52.74782472222223 
 204.34783041666665   -46.42789111111111 
 207.37615166666663  -41.687708888888885 
  207.9566720833333           -32.994085 
 208.02025999999998  -52.811526944444445 
  209.5677783333333   -42.10075388888889 
  209.6697858333333   -44.80358555555555 
 211.51153416666665  -41.179632777777776 
 211.92003124999997   -48.70402722222222 
 213.73808499999998  -57.086127222222224 
 215.75932916666665   -39.51181916666667 
  216.7078045833333  -39.873985833333336 
  218.8767670833333  -42.157824999999995 
 218.88116499999998   -41.51744388888889 
 219.18388499999998   -40.21158027777778 
 219.47177416666665          -49.4258275 
 220.48231541666667   -47.38819861111111 
 220.48996083333333   -37.79349833333333 
 224.60110291666666   -37.36247166666667 
 225.74697999999995   -32.64329305555555 
  227.1633233333333   -42.86792166666667 
 228.20661166666662          -44.5004125 
 228.83184041666664   -44.14949472222222 
  229.1547883333333   -42.37015666666667 
 229.73489916666665   -40.78822222222222 
 230.34302166666663   -40.64750611111111 
  230.7889583333333   -36.85848666666667 
  231.8255420833333  -36.767558888888885 
 232.95929124999998   -32.88111472222222 
 233.23008208333331   -16.85284638888889 
 234.63599291666665   -39.16069861111111 
 234.66403916666664   -29.77774861111111 
 234.75024249999998  -19.732556388888888 
  237.5295145833333   -53.20977055555556 
 238.84535749999998   -44.52601472222222 
  239.2211508333333          -29.2140725 
 239.41859999999997  -20.983077499999997 
 239.54736916666664  -14.279358055555557 
  239.8786745833333  -40.865165833333336 
        240.0305325   -38.39670861111111 
 240.85078916666663  -38.602542222222226 
  241.0009916666666  -19.767479444444444 
       241.64811125   -36.80226555555555 
 241.70177875000002  -20.669191666666666 
 241.81220333333331  -17.936037777777777 
 242.01824624999995   -36.23183138888889 
 243.07585333333327  -27.926373611111114 
 245.36263499999998   -48.18862305555555 
 245.61664749999994   -49.57235361111111 
 246.75597874999994  -18.456248055555555 
  247.8455541666666           -34.704365 
  248.8076629166666   -35.72464666666667 
  248.9706366666666  -28.216016944444444 
 249.11947041666664   -40.30303277777777 
 249.60955083333332  -43.398425277777775 
  249.6193858333333  -18.220475555555552 
 250.91135041666664   -32.10594638888889 
  250.9753408333333  -41.113344444444444 
 251.17747166666663   -40.83967472222223 
         252.967565  -38.047398611111106 
       253.08393875   -38.01753472222222 
